clamp_pressure,feedrate,X1_OutputCurrent,Y1_OutputCurrent,M1_CURRENT_FEEDRATE,S1_OutputCurrent,Machining_Process_Layer 1 Down,Z1_ActualPosition,Z1_CommandPosition,X1_DCBusVoltage,X1_OutputVoltage,S1_DCBusVoltage,Y1_DCBusVoltage,Y1_OutputVoltage,Machining_Process_Repositioning,X1_OutputPower,S1_ActualPosition,S1_CommandPosition,Machining_Process_Layer 2 Up,S1_ActualVelocity,S1_CurrentFeedback,S1_CommandVelocity,S1_OutputPower,tool_condition,experiment_id
4.0,20,329.0,333.0,50.0,332.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,0.0,-1160.0,-1160.0,False,0.001,-1.86,0.0,0.0,0,2
4.0,20,329.0,333.0,50.0,332.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,0.0,-1160.0,-1160.0,False,0.001,-1.86,0.0,0.0,0,2
4.0,20,325.0,327.0,50.0,324.0,False,119.0,119.0,2.78e-19,0.0,2.78e-19,2.69e-19,0.0,False,9.16e-07,905.0,905.0,False,0.00025,-0.176,0.0,-8.59e-07,0,2
4.0,20,329.0,333.0,50.0,332.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,-2.3e-07,-1160.0,-1160.0,False,0.00075,-1.17,0.0,-6.29e-06,0,2
4.0,20,329.0,333.0,50.0,332.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,-2.3e-07,-1160.0,-1160.0,False,0.00075,-1.17,0.0,-6.29e-06,0,2
4.0,20,325.0,327.0,50.0,324.0,False,119.0,119.0,2.78e-19,0.0,2.78e-19,2.69e-19,0.0,False,0.0,905.0,905.0,False,0.0,-0.0861,0.0,1.66e-06,0,2
4.0,20,328.0,332.0,50.0,331.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,-7.87e-07,-1160.0,-1160.0,False,0.0,-1.58,0.0,0.0,0,2
4.0,20,328.0,332.0,50.0,331.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,-7.87e-07,-1160.0,-1160.0,False,0.0,-1.58,0.0,0.0,0,2
4.0,20,325.0,326.0,50.0,323.0,False,119.0,119.0,2.78e-19,0.0,2.78e-19,2.69e-19,0.0,False,1.72e-06,905.0,905.0,False,0.001,0.207,0.0,1.18e-06,0,2
4.0,20,328.0,332.0,50.0,331.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,-5.37e-07,-1160.0,-1160.0,False,0.0,-1.23,0.0,-7.26e-06,0,2
4.0,20,328.0,332.0,50.0,331.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,-5.37e-07,-1160.0,-1160.0,False,0.0,-1.23,0.0,-7.26e-06,0,2
4.0,20,325.0,327.0,50.0,324.0,False,119.0,119.0,2.78e-19,0.0,2.78e-19,2.69e-19,0.0,False,0.0,905.0,905.0,False,0.0,0.297,0.0,-3.58e-06,0,2
4.0,20,328.0,332.0,50.0,331.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,0.0,-1160.0,-1160.0,False,0.001,-1.92,0.0,0.0,0,2
4.0,20,328.0,332.0,50.0,331.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,0.0,-1160.0,-1160.0,False,0.001,-1.92,0.0,0.0,0,2
4.0,20,324.0,326.0,50.0,323.0,False,119.0,119.0,2.78e-19,0.0,2.78e-19,2.69e-19,0.0,False,2.9e-06,905.0,905.0,False,-0.002,0.118,0.0,0.0,0,2
4.0,20,328.0,332.0,50.0,331.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,-6.37e-07,-1160.0,-1160.0,False,0.001,-1.52,0.0,-6.65e-06,0,2
4.0,20,328.0,332.0,50.0,331.0,False,119.0,119.0,2.79e-19,0.0,0.0,2.68e-19,0.0,False,-6.37e-07,-1160.0,-1160.0,False,0.001,-1.52,0.0,-6.65e-06,0,2
4.0,20,324.0,326.0,50.0,323.0,False,119.0,119.0,2.78e-19,0.0,2.78e-19,2.69e-19,0.0,False,1.02e-06,905.0,905.0,False,-0.001,2.53,0.0,0.0,0,2
